school_year,state_id,state_abbrev,eval_year,class_remove_year,suspension_year,PBIS,enroll,FRPL_percent,enroll_OTHER,enroll_AM,enroll_ASIAN,enroll_HISP,enroll_BLACK,enroll_WHITE,ODR_class,ODR_other,ODR_subjective,ODR_objective
2015,17,IL,2016,,,1,139614,0.513298630714417,0,399,6708,26464,27517,71722,1.41666495800018,1.19668316841126,0.813617289066315,0.453001618385315
2016,17,IL,2016,,,1,138979,0.506864309310913,0,443,5947,26728,27344,72188,1.20562219619751,1.12907707691193,0.734507441520691,0.442152261734009
2017,17,IL,2016,,,1,146602,0.515191555023193,0,452,6121,29167,29821,74204,1.26058602333069,1.0979585647583,0.713371753692627,0.437062919139862
2006,18,IN,2014,2009,,,,,,,,,,,,,,
2007,18,IN,2014,2009,,,,,,,,,,,,,,
2008,18,IN,2014,2009,,,,,,,,,,,,,,
2009,18,IN,2014,2009,,,,,,,,,,,,,,
2010,18,IN,2014,2009,,0,1691,0.784170985221863,61,8,15,391,194,1006,3.69318342208862,1.66697061061859,1.97522068023682,0.615462183952332
2011,18,IN,2014,2009,,,1810,0.781446278095245,79,7,7,318,230,916,3.2011604309082,2.34471702575684,1.56530010700226,0.935954809188843
2012,18,IN,2014,2009,,1,1769,0.756640493869782,60,7,6,306,212,923,2.64425730705261,1.99143385887146,1.1559807062149,0.963803470134735
2013,18,IN,2014,2009,,,1403,0.684100389480591,24,2,11,362,142,829,1.58452415466309,1.89559638500214,0.296490699052811,1.18333911895752
2014,18,IN,2014,2009,,0,1792,0.790650248527527,0,9,12,476,257,947,3.22581005096436,1.49831521511078,1.59258055686951,0.686460316181183
2015,18,IN,2014,2009,,,1879,0.750459909439087,0,5,28,510,303,938,2.69047832489014,1.16767346858978,1.36998629570007,0.447781980037689
2016,18,IN,2014,2009,,,1862,0.759223818778992,0,4,28,506,295,937,1.62844300270081,0.922920703887939,0.840414047241211,0.42175704240799
2017,18,IN,2014,2009,,,758,0.90816342830658,0,1,1,168,273,265,3.25891494750977,1.64829182624817,2.31365728378296,0.745962083339691
2006,19,IA,,,,1,9769,0.335213899612427,0,56,224,579,799,7236,2.75661754608154,2.22565507888794,1.56086683273315,0.91980242729187
2007,19,IA,,,,1,13269,0.384479165077209,0,137,386,1313,1325,8834,1.97614932060242,1.73243832588196,1.23004138469696,0.817242383956909
2008,19,IA,,,,0,16350,0.384920626878738,0,148,412,1517,1514,10919,2.35578632354736,1.82003903388977,1.48574614524841,0.739401876926422
2009,19,IA,,,,1,16469,0.457485020160675,35,87,296,1351,1269,10906,2,1.60347104072571,1.16959059238434,0.614563286304474
2010,19,IA,,,,1,14451,0.462442845106125,44,263,294,1618,779,9836,2.06203126907349,1.40377736091614,1.20514452457428,0.565782129764557
2011,19,IA,,,,1,14354,0.49915611743927,103,196,293,1841,707,9470,2.06438660621643,1.67441511154175,1.10018086433411,0.635683536529541
2012,19,IA,,,,1,18197,0.493426382541657,283,171,416,2240,822,12181,1.91737604141235,1.87617433071136,1.52127623558044,0.625398397445679
2013,19,IA,,,,1,21465,0.478405296802521,19,329,346,2617,882,15926,1.7373423576355,1.50855600833893,1.30798494815826,0.60337370634079
2014,19,IA,,,,1,26448,0.472989201545715,0,428,406,3426,950,20373,1.9689427614212,1.82041132450104,1.33154487609863,0.694444477558136
2015,19,IA,,,,1,29308,0.459915608167648,0,236,433,3672,1177,22483,1.7340931892395,1.7939760684967,1.3790990114212,0.77596378326416
2016,19,IA,,,,1,25666,0.435862064361572,0,186,340,2770,987,20526,2.14793133735657,1.71955394744873,1.5402592420578,0.612281680107117
